Giới tính của bạn:,Độ tuổi của bạn:,Trình độ học vấn cao nhất:,Tình trạng việc làm chính:,"Thu nhập bình quân tháng theo Hợp đồng lao động của bạn là bao nhiêu? (Vui lòng điền tổng thu nhập trước khi khấu trừ các loại Bảo hiểm (BHXH, BHYT, BHTN) và Thuế TNCN)","Số người phụ thuộc (con nhỏ, cha mẹ già...) đủ điều kiện giảm trừ gia cảnh:","Tôi tin rằng với các quy định quản lý thuế hiện nay, hành vi gian lận hoặc trốn thuế sẽ dễ dàng bị phát hiện và xử lý nghiêm. - HUMAN-ENF1","Tôi tin rằng Nhà nước, cơ quan thuế có đủ khả năng và công nghệ để phát hiện, xử lý nghiêm các hành vi trốn thuế. - HUMAN-ENF2","Các thủ tục khai báo thuế VÀ/HOẶC quy trình làm việc với cơ quan thuế đơn giản, tiện lợi, nhanh chóng hơn so với trước đây. - HUMAN-FAC1","So với trước đây, tôi thấy cách tính thuế và các bậc thuế trong phương án mới đơn giản, dễ hiểu và dễ thực hiện hơn. - HUMAN-FAC2","Tôi tin rằng Nhà nước, cơ quan thuế sẽ thực thi chính sách mới một cách khách quan, công tâm và đối xử bình đẳng với mọi người nộp thuế.  - HUMAN-TRU1",Tôi thấy mức thuế tôi phải đóng theo phương án mới là công bằng (người thu nhập như tôi đóng mức này là hợp lý). - HUMAN-TRU2,"Tôi tin tưởng số tiền thuế tôi đóng sẽ được Nhà nước sử dụng hiệu quả để cải thiện dịch vụ công (y tế, đường xá...). - HUMAN-TRU3","Tôi thấy Nhà nước đã giải thích rõ ràng, minh bạch về lý do và mục tiêu của việc sửa đổi thuế lần này. - HUMAN-TRU4","Sau khi xem xét các quyền lợi và nghĩa vụ, bạn có ủng hộ và tuân thủ chính sách mới hiện nay? - HUMAN-OUT1"
Nam,41,Thạc sĩ - Tiến sĩ,Chính thức,14061354.5,2,,,,,,,,,
Nữ,41,Đại học,Chính thức,12514162.5,2,,,,,,,,,
Nam,39,Khác,Phi chính thức,18500310.37,6,,,,,,,,,
Nữ,27,THPT,Chính thức,13390571.4,6,,,,,,,,,
Nam,38,Đại học,Chính thức,16359796.14,5,,,,,,,,,
Nữ,30,THPT,Chính thức,13458394.59,3,,,,,,,,,
Nam,33,THPT,Chính thức,16384102.71,3,,,,,,,,,
Nam,30,Đại học,Chính thức,16379790.26,6,,,,,,,,,
Nữ,44,Đại học,Chính thức,27823858.03,5,,,,,,,,,
Nam,43,Đại học,Chính thức,14543859.65,6,,,,,,,,,
Nữ,27,Đại học,Chính thức,16606292.27,2,,,,,,,,,
Nam,29,Cao đẳng - Trung cấp nghề,Chính thức,23171011.79,2,,,,,,,,,
Nam,30,THPT,Chính thức,12973831.23,4,,,,,,,,,
Nam,38,Đại học,Chính thức,13796628.44,4,,,,,,,,,
Nữ,42,Đại học,Chính thức,16809075.76,2,,,,,,,,,
Nam,40,THPT,Chính thức,25452294.88,5,,,,,,,,,
Nam,40,Cao đẳng - Trung cấp nghề,Chính thức,21535692.12,4,,,,,,,,,
Nam,43,Đại học,Chính thức,13885621.88,4,,,,,,,,,
Nam,31,THPT,Chính thức,97588853.42,5,,,,,,,,,
Nữ,27,Đại học,Chính thức,14964716.26,3,,,,,,,,,
Nam,47,THPT,Phi chính thức,12746545.13,3,,,,,,,,,
Nữ,35,Cao đẳng - Trung cấp nghề,Chính thức,105130067.3,6,,,,,,,,,
Nam,45,Khác,Chính thức,12308340.68,4,,,,,,,,,
Nữ,48,THPT,Chính thức,12434872.1,2,,,,,,,,,
Nam,53,Đại học,Chính thức,19805090.01,2,,,,,,,,,
Nữ,39,Đại học,Chính thức,15079094.38,2,,,,,,,,,
Nam,43,Thạc sĩ - Tiến sĩ,Chính thức,22346885.99,3,,,,,,,,,
Nam,36,Đại học,Chính thức,13398510.24,2,,,,,,,,,
Nữ,30,Đại học,Chính thức,13757326.28,2,,,,,,,,,
Nam,34,Đại học,Chính thức,24288202.43,2,,,,,,,,,
Nữ,34,Đại học,Chính thức,19437512.93,2,,,,,,,,,
Nam,41,Thạc sĩ - Tiến sĩ,Chính thức,20506517.69,4,,,,,,,,,
Nam,27,THPT,Chính thức,12992061.16,6,,,,,,,,,
Nữ,38,Đại học,Phi chính thức,14745761.05,2,,,,,,,,,
Nam,39,Đại học,Chính thức,19137078.42,3,,,,,,,,,
Nữ,40,Đại học,Chính thức,16073311.77,5,,,,,,,,,
Nữ,47,THPT,Chính thức,19825470.72,5,,,,,,,,,
Nam,34,Cao đẳng - Trung cấp nghề,Chính thức,16295305.3,6,,,,,,,,,
Nữ,41,Đại học,Chính thức,15015877.68,4,,,,,,,,,
Nam,32,THPT,Chính thức,15480838.97,4,,,,,,,,,
Nam,40,THPT,Chính thức,15327354.7,7,,,,,,,,,
Nam,31,THPT,Chính thức,13468783.69,8,,,,,,,,,
Nam,28,Đại học,Chính thức,19826194.91,5,,,,,,,,,
Nam,21,THPT,Chính thức,13419092.42,5,,,,,,,,,
Nam,47,Khác,Chính thức,12307654.61,4,,,,,,,,,
Nam,49,THPT,Chính thức,14649906.89,2,,,,,,,,,
Nữ,47,THPT,Chính thức,17933685.08,2,,,,,,,,,
Nam,49,Cao đẳng - Trung cấp nghề,Chính thức,14771047.73,4,,,,,,,,,
Nữ,21,THPT,Chính thức,12873664.61,4,,,,,,,,,
Nam,35,Khác,Chính thức,12389493.29,5,,,,,,,,,
Nam,23,THPT,Chính thức,13910516.51,4,,,,,,,,,
Nam,49,THPT,Chính thức,18853300.23,6,,,,,,,,,
Nam,31,Cao đẳng - Trung cấp nghề,Chính thức,15037635.99,3,,,,,,,,,
Nữ,38,Đại học,Chính thức,16524355.58,3,,,,,,,,,
Nam,49,Cao đẳng - Trung cấp nghề,Chính thức,16576889.15,5,,,,,,,,,
Nam,26,Đại học,Chính thức,43527351.02,3,,,,,,,,,
Nam,43,Khác,Phi chính thức,16880133.29,5,,,,,,,,,
Nam,38,Đại học,Chính thức,16727727.14,2,,,,,,,,,
Nữ,37,Cao đẳng - Trung cấp nghề,Chính thức,13098696.46,2,,,,,,,,,
Nam,51,THPT,Chính thức,14935509.16,3,,,,,,,,,
Nam,31,Đại học,Chính thức,14746153.09,6,,,,,,,,,
Nữ,32,Đại học,Chính thức,13441144.76,4,,,,,,,,,
Nam,29,Cao đẳng - Trung cấp nghề,Chính thức,21049451.69,3,,,,,,,,,
Nam,37,THPT,Chính thức,13024208.57,7,,,,,,,,,
Nữ,50,Đại học,Chính thức,23517581.33,4,,,,,,,,,
Nam,57,THPT,Chính thức,12310888.95,4,,,,,,,,,
Nam,45,THPT,Phi chính thức,270105142.5,5,,,,,,,,,
Nam,46,Thạc sĩ - Tiến sĩ,Chính thức,25874904.15,4,,,,,,,,,
Nữ,43,THPT,Chính thức,14760364.6,2,,,,,,,,,
Nam,46,Cao đẳng - Trung cấp nghề,Chính thức,16269724.59,3,,,,,,,,,
Nam,29,Đại học,Chính thức,24154781.47,6,,,,,,,,,
Nam,39,Khác,Phi chính thức,12996569.64,6,,,,,,,,,
Nữ,35,Khác,Chính thức,12663726.35,3,,,,,,,,,
Nam,33,THPT,Chính thức,18462342.23,3,,,,,,,,,
Nam,35,THPT,Chính thức,13919827.5,1,,,,,,,,,
Nam,35,THPT,Chính thức,30703910.61,7,,,,,,,,,
Nam,28,Cao đẳng - Trung cấp nghề,Chính thức,14482309.12,1,,,,,,,,,
Nữ,35,THPT,Chính thức,13105753.21,1,,,,,,,,,
Nam,34,THPT,Chính thức,14348426.93,4,,,,,,,,,
Nữ,26,THPT,Chính thức,13488483.78,2,,,,,,,,,
Nam,23,Khác,Chính thức,13825443.5,4,,,,,,,,,
Nữ,31,Đại học,Chính thức,14102910.91,2,,,,,,,,,
Nam,33,Đại học,Chính thức,18962135.32,3,,,,,,,,,
Nam,41,Khác,Chính thức,14396452.02,4,,,,,,,,,
Nữ,38,Đại học,Chính thức,21651976,2,,,,,,,,,
Nam,38,Đại học,Chính thức,23790776.65,3,,,,,,,,,
Nam,42,Đại học,Chính thức,15672155.25,8,,,,,,,,,
Nam,27,Cao đẳng - Trung cấp nghề,Chính thức,14558953.25,4,,,,,,,,,
Nam,29,Khác,Chính thức,12553464.67,2,,,,,,,,,
Nữ,54,Khác,Phi chính thức,12585514.06,2,,,,,,,,,
Nam,53,Khác,Chính thức,21344506.52,3,,,,,,,,,
Nam,33,THPT,Chính thức,27228393.03,3,,,,,,,,,
Nam,56,Khác,Phi chính thức,12714985.79,4,,,,,,,,,
Nam,25,Đại học,Chính thức,14251200.63,3,,,,,,,,,
Nam,30,Đại học,Chính thức,18602007.03,4,,,,,,,,,
Nam,43,THPT,Chính thức,15485151.43,5,,,,,,,,,
Nữ,34,Khác,Chính thức,13726551.01,5,,,,,,,,,
Nam,31,Đại học,Chính thức,14054199.75,7,,,,,,,,,
Nam,31,Đại học,Chính thức,12387533.08,4,,,,,,,,,
Nam,45,Thạc sĩ - Tiến sĩ,Chính thức,19222015.31,5,,,,,,,,,
Nữ,24,Đại học,Chính thức,20661804.26,7,,,,,,,,,
Nam,36,Đại học,Chính thức,20772605.01,6,,,,,,,,,
Nam,46,Khác,Chính thức,12592080.76,4,,,,,,,,,
Nam,52,Thạc sĩ - Tiến sĩ,Chính thức,14913750.86,2,,,,,,,,,
Nữ,47,Đại học,Chính thức,13512496.32,1,,,,,,,,,
Nữ,50,THPT,Chính thức,14180241.11,2,,,,,,,,,
Nam,55,THPT,Chính thức,16919533.47,2,,,,,,,,,
Nam,58,Đại học,Chính thức,27473764.92,5,,,,,,,,,
Nam,46,Khác,Phi chính thức,12592080.76,4,,,,,,,,,
Nam,44,Khác,Chính thức,18980343.47,4,,,,,,,,,
Nam,33,Khác,Chính thức,15405959.03,4,,,,,,,,,
Nam,28,Đại học,Chính thức,13275213.17,6,,,,,,,,,
Nam,50,Thạc sĩ - Tiến sĩ,Chính thức,17784671.18,3,,,,,,,,,
Nam,31,Đại học,Chính thức,12927962.36,4,,,,,,,,,
Nữ,22,THPT,Chính thức,13482407.14,6,,,,,,,,,
Nữ,31,THPT,Chính thức,14760364.6,2,,,,,,,,,
Nam,32,THPT,Chính thức,17485053.42,3,,,,,,,,,
Nam,39,THPT,Chính thức,21644113.39,4,,,,,,,,,
Nam,37,THPT,Chính thức,29519553.07,2,,,,,,,,,
Nam,39,Khác,Chính thức,40514664.8,4,,,,,,,,,
Nữ,34,THPT,Chính thức,13270606.68,3,,,,,,,,,
Nam,37,THPT,Chính thức,12633539.16,3,,,,,,,,,
Nam,60,Khác,Phi chính thức,12795452.32,3,,,,,,,,,
Nam,30,THPT,Chính thức,14760854.65,3,,,,,,,,,
Nam,39,THPT,Chính thức,12410467.51,4,,,,,,,,,
Nữ,32,THPT,Chính thức,12449279.62,4,,,,,,,,,
Nam,33,Đại học,Chính thức,19356714.26,6,,,,,,,,,
Nam,39,Khác,Phi chính thức,14543761.64,3,,,,,,,,,
Nữ,31,Khác,Chính thức,12828775.85,2,,,,,,,,,
Nam,39,Khác,Chính thức,15413113.79,3,,,,,,,,,
Nữ,35,Khác,Chính thức,12825541.51,2,,,,,,,,,
Nam,33,Khác,Chính thức,15132314.03,5,,,,,,,,,
Nam,45,THPT,Phi chính thức,30989703.14,6,,,,,,,,,
Nam,40,Khác,Chính thức,13172890.33,6,,,,,,,,,
Nam,33,Khác,Phi chính thức,12292168.97,4,,,,,,,,,
Nam,40,THPT,Chính thức,15425659.12,5,,,,,,,,,
Nữ,35,Đại học,Chính thức,12362932.47,4,,,,,,,,,
Nam,59,Đại học,Phi chính thức,12619817.7,1,,,,,,,,,
Nữ,48,Đại học,Chính thức,12627952.56,2,,,,,,,,,
Nam,33,Đại học,Chính thức,25099682.33,3,,,,,,,,,
Nam,63,Đại học,Chính thức,38718342.64,2,,,,,,,,,
Nam,59,Đại học,Chính thức,28682221.49,2,,,,,,,,,
Nữ,60,THPT,Chính thức,18834885.16,1,,,,,,,,,
Nam,38,Đại học,Chính thức,17211310.4,6,,,,,,,,,
Nam,50,Đại học,Chính thức,34414338.92,2,,,,,,,,,
Nữ,40,Cao đẳng - Trung cấp nghề,Chính thức,17584631.97,2,,,,,,,,,
Nam,42,Đại học,Chính thức,35181215.08,4,,,,,,,,,
Nam,42,Đại học,Chính thức,42825418.99,4,,,,,,,,,
Nam,45,Đại học,Phi chính thức,23065694.19,3,,,,,,,,,
Nữ,42,THPT,Chính thức,21465549.35,3,,,,,,,,,
Nam,45,THPT,Chính thức,14396452.02,6,,,,,,,,,
Nam,24,THPT,Chính thức,12853278.45,2,,,,,,,,,
Nam,60,Đại học,Chính thức,21143596.11,2,,,,,,,,,
Nam,31,Đại học,Chính thức,13290600.8,3,,,,,,,,,
Nữ,37,Cao đẳng - Trung cấp nghề,Chính thức,20649182.7,3,,,,,,,,,
Nam,40,Đại học,Chính thức,19221601.49,2,,,,,,,,,
Nam,40,Đại học,Chính thức,20153320.92,4,,,,,,,,,
Nam,41,Khác,Chính thức,33221019.55,4,,,,,,,,,
Nam,30,Đại học,Chính thức,15478388.71,3,,,,,,,,,
Nữ,43,Đại học,Chính thức,20337678.46,2,,,,,,,,,
Nam,45,Đại học,Chính thức,35697276.54,2,,,,,,,,,
Nam,37,Đại học,Chính thức,15102616.88,3,,,,,,,,,
Nữ,36,Đại học,Chính thức,13289424.68,2,,,,,,,,,
Nam,49,Khác,Phi chính thức,17665392.53,3,,,,,,,,,
Nam,49,Đại học,Chính thức,13760854.65,4,,,,,,,,,
Nam,47,Đại học,Chính thức,17633931.2,3,,,,,,,,,
Nam,53,THPT,Phi chính thức,14445947.27,4,,,,,,,,,
Nam,56,Đại học,Chính thức,25158177.24,3,,,,,,,,,
Nam,53,Đại học,Chính thức,24212071.42,3,,,,,,,,,
Nữ,38,THPT,Chính thức,13110359.7,6,,,,,,,,,
Nam,54,Khác,Chính thức,16444673.14,1,,,,,,,,,
Nữ,53,Đại học,Chính thức,33282355.68,1,,,,,,,,,
Nữ,37,Khác,Chính thức,12291090.86,2,,,,,,,,,
Nam,41,THPT,Chính thức,13761344.7,2,,,,,,,,,
Nữ,35,Khác,Chính thức,16577281.19,2,,,,,,,,,
Nam,38,THPT,Chính thức,16903067.73,3,,,,,,,,,
Nam,39,Đại học,Chính thức,17878750.26,6,,,,,,,,,
Nam,36,THPT,Chính thức,14131627.95,7,,,,,,,,,
Nam,46,Khác,Chính thức,19066832.2,4,,,,,,,,,
Nam,40,Khác,Phi chính thức,16995197.49,4,,,,,,,,,
Nam,37,THPT,Chính thức,13172596.3,6,,,,,,,,,
Nam,30,Đại học,Chính thức,21723360.23,5,,,,,,,,,
Nam,45,THPT,Phi chính thức,13416642.16,4,,,,,,,,,
Nam,51,THPT,Chính thức,14307654.61,3,,,,,,,,,
Nữ,39,Cao đẳng - Trung cấp nghề,Chính thức,15429775.56,4,,,,,,,,,
Nữ,44,Khác,Chính thức,12822111.14,4,,,,,,,,,
Nam,25,Đại học,Chính thức,13493482.31,4,,,,,,,,,
Nam,29,THPT,Chính thức,12293639.13,6,,,,,,,,,
Nam,25,Khác,Chính thức,13438008.43,3,,,,,,,,,
Nam,40,Khác,Phi chính thức,13860139.17,6,,,,,,,,,
Nam,45,Khác,Chính thức,38719855.68,4,,,,,,,,,
Nam,21,THPT,Chính thức,17156914.63,4,,,,,,,,,
Nam,53,THPT,Chính thức,18513035.38,2,,,,,,,,,
Nam,30,THPT,Chính thức,13857786.93,3,,,,,,,,,
Nữ,26,Khác,Chính thức,12730765.46,2,,,,,,,,,
Nam,35,Khác,Phi chính thức,18703082.97,5,,,,,,,,,
Nam,36,Khác,Phi chính thức,12585416.05,4,,,,,,,,,
Nam,36,THPT,Chính thức,18343678.87,7,,,,,,,,,
Nữ,38,Đại học,Chính thức,17338429.87,2,,,,,,,,,
Nam,42,THPT,Chính thức,16162305.2,2,,,,,,,,,
Nữ,36,Khác,Chính thức,12976183.48,1,,,,,,,,,
Nam,26,THPT,Phi chính thức,12877977.07,6,,,,,,,,,
Nam,38,THPT,Chính thức,16903753.8,6,,,,,,,,,
Nữ,37,THPT,Chính thức,15132804.08,5,,,,,,,,,
Nữ,35,Đại học,Chính thức,20204324.44,3,,,,,,,,,
Nam,38,Đại học,Chính thức,25653959.91,3,,,,,,,,,
Nữ,38,Khác,Chính thức,14917573.26,2,,,,,,,,,
Nam,37,THPT,Chính thức,14192198.37,2,,,,,,,,,
Nam,37,THPT,Chính thức,12603645.99,4,,,,,,,,,
Nữ,42,Đại học,Chính thức,12536018.82,2,,,,,,,,,
Nam,44,THPT,Chính thức,15917475.25,2,,,,,,,,,
Nam,38,Cao đẳng - Trung cấp nghề,Chính thức,12976379.5,5,,,,,,,,,
Nam,31,Cao đẳng - Trung cấp nghề,Chính thức,16838184.85,5,,,,,,,,,
Nữ,40,Đại học,Chính thức,15211212.39,3,,,,,,,,,
Nam,43,Đại học,Chính thức,20297951.58,4,,,,,,,,,
Nam,47,Đại học,Phi chính thức,15632559.05,4,,,,,,,,,
Nữ,31,THPT,Chính thức,15038028.03,5,,,,,,,,,
Nam,33,Đại học,Chính thức,18966790.81,2,,,,,,,,,
Nam,36,Đại học,Chính thức,31081827.14,4,,,,,,,,,
Nam,36,Đại học,Chính thức,28338262.68,4,,,,,,,,,
Nam,30,Đại học,Chính thức,17303636.19,3,,,,,,,,,
Nam,37,THPT,Chính thức,19583798.88,4,,,,,,,,,
Nam,46,Khác,Phi chính thức,13611682.84,3,,,,,,,,,
Nữ,41,Khác,Phi chính thức,12710771.34,2,,,,,,,,,
Nam,29,Cao đẳng - Trung cấp nghề,Chính thức,12701852.4,3,,,,,,,,,
Nam,37,THPT,Chính thức,25326760.87,6,,,,,,,,,
Nữ,47,Đại học,Chính thức,12896108.99,3,,,,,,,,,
Nam,39,THPT,Chính thức,18580902.13,3,,,,,,,,,
Nữ,46,Đại học,Chính thức,21968963.38,1,,,,,,,,,
Nam,56,Đại học,Chính thức,14055081.84,4,,,,,,,,,
Nam,46,Khác,Chính thức,14260021.56,6,,,,,,,,,
Nam,35,Đại học,Chính thức,23901960.78,6,,,,,,,,,
Nữ,44,Đại học,Chính thức,14153484.27,2,,,,,,,,,
Nam,46,Đại học,Chính thức,15133686.17,3,,,,,,,,,
Nữ,49,Đại học,Chính thức,16914632.95,5,,,,,,,,,
Nam,37,THPT,Chính thức,13310398.9,4,,,,,,,,,
Nam,28,Đại học,Chính thức,13957267.47,7,,,,,,,,,
Nam,37,THPT,Chính thức,14839164.95,1,,,,,,,,,
Nữ,37,Cao đẳng - Trung cấp nghề,Chính thức,12389395.28,3,,,,,,,,,
Nam,49,Đại học,Chính thức,16015191.61,4,,,,,,,,,
Nam,31,Khác,Phi chính thức,17191316.28,4,,,,,,,,,
Nữ,27,THPT,Chính thức,14692639.42,5,,,,,,,,,
Nam,20,THPT,Chính thức,14338821.92,3,,,,,,,,,
Nữ,29,THPT,Chính thức,13329118.89,4,,,,,,,,,
Nam,43,Cao đẳng - Trung cấp nghề,Phi chính thức,12388121.14,3,,,,,,,,,
Nam,47,Đại học,Chính thức,15915123,3,,,,,,,,,
Nữ,51,Đại học,Chính thức,12546407.92,3,,,,,,,,,
Nam,38,Đại học,Chính thức,15379594.24,4,,,,,,,,,
Nam,48,Khác,Phi chính thức,13909536.41,5,,,,,,,,,
Nữ,45,Đại học,Chính thức,13909634.42,1,,,,,,,,,
Nam,45,Đại học,Chính thức,15682446.34,2,,,,,,,,,
Nữ,31,Đại học,Chính thức,16661570.13,2,,,,,,,,,
Nam,36,Đại học,Chính thức,23389819.99,2,,,,,,,,,
Nam,37,THPT,Phi chính thức,12642164.07,4,,,,,,,,,
Nam,37,THPT,Chính thức,12550230.32,5,,,,,,,,,
Nữ,28,Đại học,Chính thức,21386509.41,5,,,,,,,,,
Nam,24,Đại học,Chính thức,17641379.99,2,,,,,,,,,
Nam,56,Khác,Chính thức,43819483.24,3,,,,,,,,,
Nữ,32,Đại học,Chính thức,13237381.16,2,,,,,,,,,
Nam,38,Khác,Chính thức,12307164.56,5,,,,,,,,,
Nam,36,Khác,Phi chính thức,14404684.9,4,,,,,,,,,
Nam,31,THPT,Chính thức,15653239.24,3,,,,,,,,,
Nữ,33,Cao đẳng - Trung cấp nghề,Chính thức,13124375.18,2,,,,,,,,,
Nữ,44,Đại học,Chính thức,13171910.22,4,,,,,,,,,
Nam,55,Khác,Chính thức,13369891.21,3,,,,,,,,,
Nam,43,Khác,Phi chính thức,17581887.68,5,,,,,,,,,
Nam,37,THPT,Chính thức,17474174.26,5,,,,,,,,,
Nữ,33,Đại học,Chính thức,19488723.36,3,,,,,,,,,
Nam,50,Khác,Phi chính thức,12779672.65,4,,,,,,,,,
Nam,48,Đại học,Chính thức,16552974.62,3,,,,,,,,,
Nam,47,Đại học,Chính thức,12554052.73,5,,,,,,,,,
Nữ,37,Đại học,Chính thức,13957267.47,4,,,,,,,,,
Nam,35,THPT,Chính thức,16210232.28,5,,,,,,,,,
Nam,38,Khác,Chính thức,16605802.22,7,,,,,,,,,
Nam,58,Đại học,Chính thức,15660099.97,3,,,,,,,,,
Nam,34,Đại học,Chính thức,18159528.24,4,,,,,,,,,
Nam,30,Đại học,Chính thức,18704531.35,3,,,,,,,,,
Nữ,30,Đại học,Chính thức,12388317.16,3,,,,,,,,,
Nam,33,Khác,Chính thức,21703082.97,6,,,,,,,,,
Nam,34,Đại học,Chính thức,16116828.38,2,,,,,,,,,
Nữ,32,Đại học,Chính thức,16929530.53,2,,,,,,,,,
Nữ,44,Đại học,Chính thức,19692427.06,2,,,,,,,,,
Nam,32,Đại học,Chính thức,17901200.08,6,,,,,,,,,
Nam,61,THPT,Chính thức,66459962.76,4,,,,,,,,,
Nam,50,Đại học,Chính thức,18582867.78,3,,,,,,,,,
Nữ,48,THPT,Chính thức,13703616.58,2,,,,,,,,,
Nữ,46,Đại học,Chính thức,16231990.59,6,,,,,,,,,
Nam,38,Đại học,Chính thức,60954438.24,3,,,,,,,,,
Nam,43,Đại học,Chính thức,37864757.91,2,,,,,,,,,
Nữ,39,Đại học,Chính thức,15472900.13,2,,,,,,,,,
Nam,42,Thạc sĩ - Tiến sĩ,Chính thức,16411643.63,2,,,,,,,,,
Nữ,41,Thạc sĩ - Tiến sĩ,Chính thức,17120748.8,3,,,,,,,,,
Nam,41,THPT,Phi chính thức,12584141.92,4,,,,,,,,,
Nam,50,THPT,Chính thức,13755562.09,3,,,,,,,,,
Nữ,45,Đại học,Chính thức,13535038.71,4,,,,,,,,,
Nam,37,THPT,Chính thức,19514173.39,5,,,,,,,,,
Nam,24,Đại học,Chính thức,13086151.13,3,,,,,,,,,
Nam,33,Đại học,Chính thức,13822993.24,7,,,,,,,,,
Nam,59,THPT,Chính thức,12845731.65,2,,,,,,,,,
Nữ,29,Cao đẳng - Trung cấp nghề,Chính thức,12336959.72,2,,,,,,,,,
Nam,37,THPT,Chính thức,12936195.24,2,,,,,,,,,
Nam,43,Khác,Phi chính thức,25085113.37,4,,,,,,,,,
Nam,21,Khác,Chính thức,13279133.59,6,,,,,,,,,
Nam,40,Đại học,Chính thức,14220523.38,6,,,,,,,,,
Nam,24,THPT,Chính thức,26427100.45,4,,,,,,,,,
Nam,50,THPT,Chính thức,22116594.25,5,,,,,,,,,
Nam,41,Cao đẳng - Trung cấp nghề,Chính thức,14982456.14,5,,,,,,,,,
Nữ,55,Đại học,Chính thức,12711359.4,2,,,,,,,,,
Nam,42,Đại học,Chính thức,22856196.98,4,,,,,,,,,
Nam,35,Khác,Chính thức,12566892.09,5,,,,,,,,,
Nam,44,Khác,Chính thức,15582965.79,4,,,,,,,,,
Nam,45,Khác,Chính thức,17730079.39,4,,,,,,,,,
Nam,37,Khác,Chính thức,17287660.49,5,,,,,,,,,
Nam,45,Đại học,Chính thức,12645594.43,5,,,,,,,,,
Nam,36,THPT,Phi chính thức,13784671.18,4,,,,,,,,,
Nam,21,Khác,Phi chính thức,12820640.99,6,,,,,,,,,
Nam,34,Đại học,Chính thức,14887092.03,8,,,,,,,,,
Nam,36,Đại học,Chính thức,14643536.21,6,,,,,,,,,
Nam,54,Đại học,Chính thức,14319121.83,1,,,,,,,,,
Nữ,37,Đại học,Chính thức,18291744.26,2,,,,,,,,,
Nam,42,THPT,Chính thức,17387729.1,2,,,,,,,,,
Nam,45,Đại học,Chính thức,16604332.06,4,,,,,,,,,
Nam,48,Cao đẳng - Trung cấp nghề,Chính thức,12692443.4,2,,,,,,,,,
Nữ,34,Đại học,Chính thức,13966774.48,3,,,,,,,,,
Nam,35,THPT,Phi chính thức,12759580.52,3,,,,,,,,,
Nam,34,THPT,Chính thức,18220463.48,5,,,,,,,,,
Nam,34,THPT,Chính thức,15766245.22,3,,,,,,,,,
Nam,40,Đại học,Chính thức,12694599.63,4,,,,,,,,,
Nam,28,Đại học,Chính thức,17672939.33,3,,,,,,,,,
Nam,53,THPT,Chính thức,14707438.99,5,,,,,,,,,
Nữ,30,Đại học,Chính thức,17036165.83,3,,,,,,,,,
Nam,32,Đại học,Chính thức,13647848.67,2,,,,,,,,,
Nữ,34,Đại học,Chính thức,12749093.4,2,,,,,,,,,
Nam,50,Khác,Chính thức,13966872.49,4,,,,,,,,,
Nam,35,THPT,Chính thức,16994021.37,4,,,,,,,,,
Nam,45,Khác,Chính thức,12429677.55,3,,,,,,,,,
Nữ,45,Khác,Chính thức,21127560.52,4,,,,,,,,,
Nam,39,Đại học,Phi chính thức,12683622.46,4,,,,,,,,,
Nam,26,Đại học,Chính thức,23025863.85,5,,,,,,,,,
Nam,41,Khác,Phi chính thức,14054689.8,5,,,,,,,,,
Nam,38,Thạc sĩ - Tiến sĩ,Chính thức,13452808,5,,,,,,,,,
Nam,43,Đại học,Chính thức,15327158.68,4,,,,,,,,,
Nam,35,Đại học,Chính thức,13796824.46,4,,,,,,,,,
Nam,48,Đại học,Phi chính thức,12975987.45,6,,,,,,,,,
Nam,37,Khác,Phi chính thức,13076056.06,4,,,,,,,,,
Nam,42,THPT,Chính thức,13160148.98,1,,,,,,,,,
Nam,45,Khác,Chính thức,16063020.68,5,,,,,,,,,
Nam,40,Đại học,Chính thức,13239831.42,3,,,,,,,,,
Nam,42,Thạc sĩ - Tiến sĩ,Chính thức,14008134.86,3,,,,,,,,,
Nữ,39,Đại học,Chính thức,12800548.86,3,,,,,,,,,
Nam,39,Đại học,Chính thức,17465549.35,4,,,,,,,,,
Nam,28,Khác,Phi chính thức,12526903.85,3,,,,,,,,,
Nam,55,Đại học,Chính thức,12372047.44,5,,,,,,,,,
Nam,52,THPT,Chính thức,20814400.99,3,,,,,,,,,
Nam,48,THPT,Chính thức,58778274.36,4,,,,,,,,,
Nam,42,Thạc sĩ - Tiến sĩ,Chính thức,25676415.82,3,,,,,,,,,
Nữ,40,Đại học,Chính thức,26535217.44,3,,,,,,,,,
Nam,30,Khác,Chính thức,12634715.28,4,,,,,,,,,
Nam,49,Đại học,Chính thức,26291269.58,2,,,,,,,,,
Nữ,44,Đại học,Chính thức,23960127.07,2,,,,,,,,,
Nam,46,THPT,Chính thức,14392629.62,4,,,,,,,,,
Nam,42,Đại học,Chính thức,12635499.36,4,,,,,,,,,
Nam,40,Đại học,Chính thức,24080950.82,5,,,,,,,,,
Nữ,45,Đại học,Chính thức,15818974.81,4,,,,,,,,,
Nam,41,Đại học,Chính thức,12781730.86,7,,,,,,,,,
Nữ,52,Đại học,Chính thức,13854160.54,3,,,,,,,,,
Nam,58,Đại học,Chính thức,14697049.89,3,,,,,,,,,
Nam,30,THPT,Chính thức,15605214.15,5,,,,,,,,,
Nam,51,THPT,Phi chính thức,17090169.56,6,,,,,,,,,
Nam,59,THPT,Chính thức,15909340.39,2,,,,,,,,,
Nam,37,Đại học,Chính thức,13687640.89,7,,,,,,,,,
